HEX Color;Von;Bis
28C3D2;unter;985
3FC3D0;985;989
56C4CF;989;993
6DC5CE;993;997
84C6CC;997;1003
9BC7CB;1003;1007
B2C8CA;1007;1010
C9C9C9;1010;1012
CDC2B6;1012;1014
D1BBA4;1014;1017
D6B592;1017;1022
DAAE80;1022;1028
DFA86E;1028;1034
E3A15C;1034;1040
E89B4A;1040;1046
E58F33;1046;und höher
