HEX Color;Von;Bis
233D6B;Unter;-6
245473;-6;-3
246F7C;-3;-1
24857C;-1;2
248E6B;2;5
239755;5;8
22A03A;8;10
42A233;10;12
62A52D;12;14
82A727;14;17
A2AA21;17;20
C2AC1B;20;23
E3AF15;23;25
E37D15;25;28
E34C15;28;31
E31A15;31;Und höher
