HEX Color;Von;Bis
ABABA6;unter;0
8AA4C5;0;0,2
6A9EE4;0,2;0,4
5891DE;0,4;0,6
4684D8;0,6;0,8
3477D2;0,8;1,0
226ACC;1,0;1,4
105EC6;1,4;1,8
344EBB;1,8;2,0
583EB0;2,0;3,0
7D2FA5;3,0;4,0
A11F9A;4,0;5,0
C61090;5,0;10,0
D82179;10,0;15,0
EA3362;15,0;20
FC454C;20;und höher
