HEX Color;Von;Bis
3E6293;95;100
486A8C;90;95
537285;85;90
5D7A7F;80;85
688278;75;80
738A72;70;75
7D926B;65;70
889A65;60;65
92A25E;55;60
9DAA58;50;55
A8B251;45;50
B2BA4B;40;45
F9E144;35;40
F8DE35;30;35
F8DC25;25;30
F8DA16;Und tiefer;25
