HEX Color;Von;Bis
555555;unter;1
ACA59B;1;5
CCBA9E;5;15
D9C3A0;15;30
D9C594;30;45
D9C687;45;60
D9C87A;60;80
D9C96D;80;120
D9CB61;120;160
D9CC54;160;200
D9CE47;200;250
D9CF3A;250;300
D9D12E;300;400
D9D221;400;600
D9D414;600;800
D9D608;800;und höher
